All,appliances,All 4000
475.319,475.319,348.8579816514
1904.4856666667,160.319,1397.78764526
1881.1556666667,136.989,1380.6647094801
1814.4856666667,70.319,1331.7325993884
1884.4856666667,140.319,1383.1087461774
2057.8256666667,313.659,1510.330764526
2002.8186666667,258.652,1469.9586544343
1917.8156666667,173.649,1407.5711314985
2071.1556666667,326.989,1520.1142507645
1981.1556666667,236.989,1454.059204893
2006.1556666667,261.989,1472.4078287462
2146.1556666667,401.989,1575.1601223242
1851.1526666667,106.986,1358.6441590214
1831.1526666667,86.986,1343.9652599388
1797.8186666667,53.652,1319.4999388379
1831.1526666667,86.986,1343.9652599388
2189.4886666667,445.322,1606.9641590214
1989.4886666667,245.322,1460.1751681957
1764.4856666667,20.319,1295.035351682
1764.4856666667,20.319,1295.035351682
1764.4856666667,20.319,1295.035351682
2029.4856666667,285.319,1489.530764526
2126.1456666667,381.979,1560.4738837921
1933.7785218694,265.316,1419.286988528
150.319,150.319,110.3258715596
20.319,20.319,14.9130275229
123.649,123.649,90.751559633
217.357,217.357,159.5280733945
173.836,173.836,127.5860550459
1678.6502091739,101.381,1232.0368507699
1957.8226666667,213.656,1436.9340672783
1879.4856666667,135.319,1379.4390214067
1986.1526666667,241.986,1457.7267278288
1974.9829180737,123.649,1449.5287472101
1875.9926666667,131.826,1376.875351682
2028.8356666667,284.669,1489.0537003058
1913.4126666667,169.246,1404.3395718655
2070.0826666667,325.916,1519.3267278288
355.912,355.912,261.2198165138
345.2547593265,320.912,253.3979884965
2584.246,2584.246,1896.6943119266
269.782,269.782,198.0051376147
352.579,352.579,258.7735779817
319.245,319.245,234.3082568807
457.576,457.576,335.8355963303
445.2990021784,385.909,326.8249557272
245.912,245.912,180.4858715596
232.579,232.579,170.7001834862
309.246,309.246,226.9695412844
205.912,205.912,151.1280733945
2060.9926666667,316.826,1512.6551681957
149.199,149.199,109.503853211
96.968,96.968,71.1691743119
170.301,170.301,124.991559633
304.2117728528,166.968,223.2746956718
2001.1376666667,256.971,1468.7248929664
2119.4856666667,375.319,1555.5858103976
378.649,378.649,277.9075229358
201.986,201.986,148.2466055046
183.649,183.649,134.7882568807
183.649,183.649,134.7882568807
186.986,186.986,137.2374311927
292.174,292.174,214.4396330275
526.6637586688,474.768,386.5422081973
284.768,284.768,209.0040366972
174.71,174.71,128.2275229358
329.43,329.43,241.7834862385
382.089,382.089,280.432293578
312.199,312.199,229.1368807339
211.598,211.598,155.3012844037
2014.5366666667,270.37,1478.5590214067
141.77,141.77,104.0513761468
316.8550192451,275.887,232.5541425652
323.985,323.985,237.7871559633
347.626,347.626,255.1383486239
248.225,248.225,182.1834862385
342.936,342.936,251.696146789
574.196,574.196,421.4282568807
2049.7396666667,305.573,1504.3960856269
