Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0.41,0.46,0.53,0.03,2501.53
19.81,23.18,27.82,12.4,2501.53
51.97,53.54,50.5,41.64,2501.53
88.87,82.91,80.6,81.18,2501.53
122.5,112.55,115.71,120.89,2501.53
153.18,139.79,153.15,164.2,2501.53
178.59,165.14,189,201.01,2501.53
205.05,191.17,226.21,224.66,2501.53
236.2,216.44,249.36,246.92,2501.53
265.26,242.96,275,274.24,2501.53
289.62,261.23,293.74,307.32,2501.53
312.6,277.23,310.81,331.69,2501.53
317.55,266.43,322.28,348.32,2501.53
321.08,253.45,331.58,359.92,2501.53
323.41,242.31,316.01,381.92,2501.53
324.68,234.82,369.25,408.07,2501.53
303.75,231.08,359.49,423.66,2501.53
282.52,228.09,414.48,422.62,2501.53
261.3,227.62,416.52,407.27,2501.53
240.74,230.02,410.67,397.37,2501.53
221.97,214.37,375.85,367.12,2501.53
201.91,199.27,352.32,319.14,2501.53
181.4,187.3,325.95,242.04,2501.53
161.89,176.68,228.98,179.8,2501.53
135.46,143.18,186.97,138.08,2501.53
113.31,115.36,112.04,108.12,2501.53
93.65,89.66,87.31,92.24,2501.53
75.31,67.53,68.9,71.42,2501.53
61.56,53.68,58.71,48.39,2501.53
46.74,39.59,45.09,29.22,2501.53
29.78,24.7,22.53,13.08,2501.53
12.84,10.76,8.46,3.05,2501.53
